pair,tier,vol_z,fwd_gain,pumped
BTCUSDT,mega,2.2476296022927698,0.017664198845052326,False
BTCUSDT,mega,2.5224871692645157,0.011215718406147879,False
BTCUSDT,mega,2.0437028255163177,0.015780211337964367,False
BTCUSDT,mega,3.0984383648706992,0.04173388471991002,False
BTCUSDT,mega,2.4052276922012172,0.03997876973964587,False
BTCUSDT,mega,2.1113190557338664,0.03438856800273715,False
BTCUSDT,mega,4.966997392273481,0.019821692799946833,False
BTCUSDT,mega,2.6610767532815323,-0.003963569492812957,False
BTCUSDT,mega,2.5373129503746354,-0.003753048594814068,False
BTCUSDT,mega,2.271786505131297,0.020860886972402293,False
BTCUSDT,mega,2.316253737364226,0.01824788522308407,False
BTCUSDT,mega,2.293351688524839,0.012475229965535739,False
BTCUSDT,mega,2.076872094883569,0.001975022202486798,False
BTCUSDT,mega,2.334882862647724,-0.0009753161800445387,False
BTCUSDT,mega,2.178631574542197,0.019319532785825544,False
BTCUSDT,mega,2.0488200539958172,0.017589629566303833,False
BTCUSDT,mega,2.9548079908519,0.026250188227061377,False
BTCUSDT,mega,4.439341597488266,0.03633702602782085,False
BTCUSDT,mega,2.5461590345746625,0.04719259464306291,False
BTCUSDT,mega,2.3620401000047853,0.017239039062298067,False
BTCUSDT,mega,2.0434198957061294,0.00858038321346477,False
BTCUSDT,mega,2.8378300891490458,0.011554482847542014,False
BTCUSDT,mega,2.290334577979616,0.011209515403808767,False
BTCUSDT,mega,2.2715311256050463,-0.007617756776815865,False
BTCUSDT,mega,2.3359290922055647,-0.004077835019445142,False
BTCUSDT,mega,3.6396063893805275,0.12352614314198274,True
BTCUSDT,mega,2.0334943809690875,0.09935346341715956,False
BTCUSDT,mega,2.1529007204182893,0.09795923140579554,False
BTCUSDT,mega,2.043308517710383,0.08442170197212606,False
BTCUSDT,mega,2.094207929917025,0.03939856148969656,False
BTCUSDT,mega,2.200091848854031,0.032234272288090615,False
BTCUSDT,mega,2.0893255747037864,0.019700835012957052,False
BTCUSDT,mega,2.7917301354447703,0.021831356784461464,False
BTCUSDT,mega,2.595747165903762,0.044004239335233564,False
BTCUSDT,mega,3.699607745627473,0.02663244147199295,False
BTCUSDT,mega,2.054877652571188,0.028420286742171008,False
BTCUSDT,mega,3.473113712681263,0.027871380549362224,False
BTCUSDT,mega,2.522533375348065,0.0040551800832944185,False
BTCUSDT,mega,2.0226892827220153,0.009452613484003836,False
BTCUSDT,mega,2.116726368009051,0.005848621508233398,False
BTCUSDT,mega,2.2218303746158656,0.0006674858318669319,False
BTCUSDT,mega,2.2521350101357918,0.003454422900412979,False
BTCUSDT,mega,2.764387998249211,0.03004685308066435,False
BTCUSDT,mega,2.4257758797706086,0.012045231862338523,False
BTCUSDT,mega,2.0624816307754,-0.0027655398926513808,False
BTCUSDT,mega,2.5520130267111134,0.027801270493701624,False
BTCUSDT,mega,2.08553430750606,0.0061649660700060505,False
BTCUSDT,mega,2.2286115756795386,0.021495989096537826,False
BTCUSDT,mega,3.4469677496036155,0.01638529581345871,False
BTCUSDT,mega,2.2143877690539093,-9.015064082817936e-05,False
BTCUSDT,mega,2.3138837351487855,0.011364695671535197,False
BTCUSDT,mega,2.4731284505579567,0.0014716102761516137,False
BTCUSDT,mega,2.2078785212707124,-0.004669857595593019,False
BTCUSDT,mega,2.28332950521568,0.01270878438157963,False
BTCUSDT,mega,2.13539152760199,0.007789700891682516,False
BTCUSDT,mega,2.3572825587522224,0.007100278518937575,False
BTCUSDT,mega,2.426237550082352,0.01374723171240122,False
BTCUSDT,mega,4.510482096506102,0.02578836198411305,False
BTCUSDT,mega,2.1179151969040335,-0.0036646801875213075,False
BTCUSDT,mega,2.2751714353435797,0.002018173310602611,False
BTCUSDT,mega,2.2815995577171284,-0.0010590377095299752,False
BTCUSDT,mega,2.863605857138676,0.0023536726575947853,False
BTCUSDT,mega,2.8903211434802114,0.0016349760164851013,False
BTCUSDT,mega,2.2172905678340267,0.035896568473446244,False
BTCUSDT,mega,2.4873257683939856,0.006706204896322454,False
BTCUSDT,mega,4.022109689070907,0.007634660018747574,False
BTCUSDT,mega,2.0654916137659245,0.00839600178681943,False
BTCUSDT,mega,2.855967722461868,0.0005289200164260155,False
BTCUSDT,mega,3.510101393903157,-0.0017991218441272272,False
BTCUSDT,mega,2.881778673426611,-0.007059371189252817,False
BTCUSDT,mega,2.123956118324771,0.00017273766084668907,False
BTCUSDT,mega,2.17925056943135,0.0032578568176395706,False
BTCUSDT,mega,3.43822194683257,0.004050054712803064,False
BTCUSDT,mega,2.4208104106652595,0.014232238510993422,False
BTCUSDT,mega,2.7192827476335317,0.02247702729996548,False
BTCUSDT,mega,2.409493912593473,0.0117157665596479,False
BTCUSDT,mega,2.004277171638382,0.004010429861519782,False
BTCUSDT,mega,4.594431006974885,0.01847166284028079,False
BTCUSDT,mega,2.37810275948082,0.01523725223658845,False
BTCUSDT,mega,3.6625656831490296,0.01887788137422297,False
BTCUSDT,mega,2.205887136596134,0.013166150174711344,False
BTCUSDT,mega,2.402864213902768,0.004495361872640213,False
BTCUSDT,mega,3.3806886571127155,0.03829197897029757,False
BTCUSDT,mega,2.6911463496751686,0.02977724098009915,False
BTCUSDT,mega,2.2904540080287163,0.01235239641199648,False
BTCUSDT,mega,2.5332149279310894,0.0076318994398358875,False
BTCUSDT,mega,2.1994421873810888,-0.012615239025581593,False
BTCUSDT,mega,3.6623291164559113,0.010066522948501744,False
BTCUSDT,mega,2.420030956364533,0.0348034739156009,False
ETHUSDT,mega,6.778422793948352,0.01642827713958539,False
ETHUSDT,mega,2.125800728100244,0.0005605434421167566,False
ETHUSDT,mega,2.7162168611484447,0.07028820302571659,False
ETHUSDT,mega,2.523264810325533,0.06667112180343926,False
ETHUSDT,mega,2.676917913909775,0.013411602623618402,False
ETHUSDT,mega,2.3052744732082355,0.029657174504445827,False
ETHUSDT,mega,2.460709751467505,0.004828622506251046,False
ETHUSDT,mega,2.2646920413588263,-0.017944415854910023,False
ETHUSDT,mega,2.4751406334255273,0.003775323143384579,False
ETHUSDT,mega,2.4979809582283115,0.00036911700388664315,False
ETHUSDT,mega,2.890100556415843,0.042326742805681716,False
ETHUSDT,mega,2.285756526607254,0.0007772956679452658,False
ETHUSDT,mega,2.0831021903858127,0.010892596018980072,False
ETHUSDT,mega,2.052299449148499,0.013642750867912223,False
ETHUSDT,mega,2.1105318177988526,-0.006214472333285981,False
ETHUSDT,mega,2.769812070236118,0.045177631434046184,False
ETHUSDT,mega,2.9961080136757725,0.0652183672736415,False
ETHUSDT,mega,2.622216289445612,0.039604437589820796,False
ETHUSDT,mega,2.563727124950316,-0.009571234284203922,False
ETHUSDT,mega,2.019668300894856,0.008791218379972543,False
ETHUSDT,mega,2.412862158876211,-0.004851742458511832,False
ETHUSDT,mega,2.8628651502358924,0.1093172815284853,True
ETHUSDT,mega,2.116137698420608,0.09896705310042009,False
ETHUSDT,mega,2.519105690723674,0.08775403856175101,False
ETHUSDT,mega,2.312738920390261,0.04001853387309162,False
ETHUSDT,mega,2.764641846615222,0.015770250711531153,False
ETHUSDT,mega,2.4326763956690947,0.04668073281185681,False
ETHUSDT,mega,2.1727771434449035,0.03282966199405313,False
ETHUSDT,mega,2.5540041050531426,0.03904560730675688,False
ETHUSDT,mega,2.178385584160012,0.032425807668070794,False
ETHUSDT,mega,2.4776349441431353,0.05401442956904212,False
ETHUSDT,mega,2.050876490045417,0.049916627759621246,False
ETHUSDT,mega,2.356938276045374,0.035945561756344,False
ETHUSDT,mega,3.110027234471155,6.776645983763707e-05,False
ETHUSDT,mega,2.631604443398651,0.001522722067169413,False
ETHUSDT,mega,2.0891192619539627,0.011397300855826131,False
ETHUSDT,mega,2.3733444965830803,0.010495320028799826,False
ETHUSDT,mega,2.090684370967285,0.020125422093584033,False
ETHUSDT,mega,2.1238929038009884,-0.00034772287877449237,False
ETHUSDT,mega,2.678779930758518,-0.012447441227030231,False
