pair,coin,tier,rank,direction,start_time,peak_time,duration_h,magnitude,abs_magnitude,max_vol_z_48h,max_vol_z_24h,mean_vol_z_24h,n_spike_hours_24h,had_volume_spike,vol_ramp_24h,vol_ramp_12h,vol_ramp_6h,buy_ratio_24h,buy_ratio_delta,max_trades_z_24h,pre_ret_24h,rvol_pctl_pre,was_coiling,lead_time_h,silent_volume_spike,retrace_frac,hours_to_half_retrace,btc_ret_24h,start_hour_utc,start_dow
BTCUSDT,BTC,mega,1,pump,2026-02-05 23:00:00+00:00,2026-02-06 22:00:00+00:00,23,0.13423333003761262,0.13423333003761262,3.6837699791439564,3.6837699791439564,2.1284994811847406,12,True,0.03363491775233783,-0.04271350534000771,0.29648359771927024,0.47188574230706015,-0.01546985998281114,3.504486241519847,-0.12653406651711596,97.22222222222221,False,25.0,True,0.40047012291878953,,-0.11903939408392605,23,3
BTCUSDT,BTC,mega,1,dump,2026-02-04 23:00:00+00:00,2026-02-05 23:00:00+00:00,24,-0.14017431361060217,0.14017431361060217,2.550535329233583,2.0434198957061294,0.8685558924495371,1,True,0.04768561536380781,-0.007782076147061113,0.021587385638487975,0.44684283638472455,-0.04116650401680616,2.59983919655017,-0.04258705367188509,90.0,False,29.0,True,0.8390147397077022,15.0,-0.04181084293602211,23,2
ETHUSDT,ETH,mega,2,pump,2026-02-06 08:00:00+00:00,2026-02-07 04:00:00+00:00,20,0.11360071700649788,0.11360071700649788,2.8628651502358924,2.8628651502358924,1.6384261762343797,6,True,0.01444879173541855,-0.07473048256128632,0.1588735704737362,0.5122684372638765,0.021299368096002358,2.4978121912952966,-0.1005511989998864,98.75,False,45.0,True,0.36028928336620647,,-0.0833961658835859,8,4
ETHUSDT,ETH,mega,2,pump,2026-02-24 23:00:00+00:00,2026-02-25 21:00:00+00:00,22,0.13412421568733324,0.13412421568733324,2.056180932433292,0.8440367272313214,-0.3904285024997232,0,True,-0.0379717267982984,-0.07925718995572942,-0.051955945202353256,0.47085314933158545,-0.016787954484225598,1.2413241135792497,0.002294887679793023,18.61111111111111,True,46.0,False,1.0382060469423084,38.0,-0.009341132004110908,23,1
ETHUSDT,ETH,mega,2,pump,2026-02-28 06:00:00+00:00,2026-03-01 02:00:00+00:00,20,0.10344921164753451,0.10344921164753451,1.0725901716666402,1.0725901716666402,-0.541140430189302,0,False,-0.07061680364319423,-0.05677521440809039,-0.054855952813510835,0.49783270533414953,0.008847833259166049,0.8519046077816922,-0.056962242928223716,19.305555555555557,True,,False,0.6232423924449109,18.0,-0.03150919623613091,6,5
ETHUSDT,ETH,mega,2,pump,2026-03-04 04:00:00+00:00,2026-03-04 19:00:00+00:00,15,0.11083280193852829,0.11083280193852829,1.225183723033714,0.9442597476980547,-0.10160628758520013,0,False,-0.015058220105204021,0.010464828947009895,0.1424413677228463,0.4819963874981523,-0.009159034632466645,1.2919250205765132,-0.019461751557640072,31.11111111111111,False,,False,1.0232440393997972,22.0,-0.009443689002622824,4,2
ETHUSDT,ETH,mega,2,pump,2026-03-15 18:00:00+00:00,2026-03-16 17:00:00+00:00,23,0.10270872833636635,0.10270872833636635,1.1563059332858563,0.4141533394807206,-1.393017525805574,0,False,0.010320258253206501,0.018069581886863282,-0.04536553137728981,0.5028018078054144,0.012070660389616572,-0.3396229297585174,0.016303065611894763,10.0,True,,False,0.926020408163264,45.0,0.017034705944077855,18,6
ETHUSDT,ETH,mega,2,pump,2026-06-14 16:00:00+00:00,2026-06-15 15:00:00+00:00,23,0.11084158952196366,0.11084158952196366,-0.018435773837296412,-0.37188250868640665,-1.6008037137283655,0,False,-0.007751293099760744,-0.0522025155054653,0.12994123612917424,0.534861053004294,0.03824935560392795,-0.0013325960871315107,-0.008224292376874165,8.194444444444445,True,,False,0.8867770838989958,52.0,-0.004216115583903557,16,6
ETHUSDT,ETH,mega,2,dump,2026-02-01 09:00:00+00:00,2026-02-02 05:00:00+00:00,20,-0.09629434716289165,0.09629434716289165,2.796069836351346,2.649082938337046,1.2443391677038884,5,True,0.02015266585143423,-5.524193524486249e-05,0.12482696943814016,0.4276786795133645,-0.0672107586916515,2.3457163742759906,-0.08888553250136877,95.69444444444444,False,39.0,True,0.745869091840656,8.0,-0.053808005313812135,9,6
ETHUSDT,ETH,mega,2,dump,2026-02-03 01:00:00+00:00,2026-02-03 18:00:00+00:00,17,-0.0993893013063345,0.0993893013063345,3.9370931318103297,3.9370931318103297,1.3849469043638285,7,True,-0.11991493467702821,-0.12016763530646837,-0.04632682214416041,0.4928327975879023,0.0010798346610244036,3.765551000003704,0.027360133374649154,88.19444444444444,False,37.0,True,0.7640473443575616,2.0,0.017929486340165557,1,1
ETHUSDT,ETH,mega,2,dump,2026-02-05 00:00:00+00:00,2026-02-05 23:00:00+00:00,23,-0.15022467415270413,0.15022467415270413,2.563727124950316,2.412862158876211,1.0199675741018197,3,True,0.04583706904104111,-0.07017421432581163,-0.05543029020239728,0.4616369647331136,-0.02932307753047203,2.3021363493669305,-0.0413918662037821,84.72222222222221,False,44.0,True,0.9460287970274027,17.0,-0.03437208369885747,0,3
