pair,time,pnl,period,strategy
ENAUSDT,2024-05-23 21:00:00+00:00,0.037696629213483164,2024-H1,E_live
ENAUSDT,2024-11-15 17:00:00+00:00,0.05443244690344463,2024-H2,E_live
ENAUSDT,2025-07-21 18:00:00+00:00,-0.11193695369164947,2025-H2,E_live
ENAUSDT,2026-02-07 16:00:00+00:00,-0.04306502775574927,2026-H1,E_live
FETUSDT,2023-08-13 22:00:00+00:00,0.04010204081632652,2023-H2,E_live
FETUSDT,2023-10-16 13:00:00+00:00,-0.04120122237893752,2023-H2,E_live
FETUSDT,2024-02-16 06:00:00+00:00,0.07166666666666666,2024-H1,E_live
FETUSDT,2024-02-20 00:00:00+00:00,0.0672361546499477,2024-H1,E_live
FETUSDT,2024-11-06 08:00:00+00:00,0.0353521643433602,2024-H2,E_live
FETUSDT,2025-04-21 19:00:00+00:00,0.019115755627009737,2025-H1,E_live
FETUSDT,2025-09-30 17:00:00+00:00,0.07788321167883205,2025-H2,E_live
FETUSDT,2026-01-05 08:00:00+00:00,0.05695121951219518,2026-H1,E_live
FETUSDT,2026-03-16 21:00:00+00:00,-0.07240649404027943,2026-H1,E_live
INJUSDT,2023-08-17 22:00:00+00:00,0.08788126133668206,2023-H2,E_live
INJUSDT,2023-10-16 13:00:00+00:00,0.01034691771988661,2023-H2,E_live
INJUSDT,2023-10-23 03:00:00+00:00,0.10999999999999999,2023-H2,E_live
INJUSDT,2023-12-11 14:00:00+00:00,0.10999999999999999,2023-H2,E_live
INJUSDT,2026-04-16 13:00:00+00:00,-0.007389486260453988,2026-H1,E_live
PUMPUSDT,2026-04-28 21:00:00+00:00,-0.04171232876712327,2026-H1,E_live
SYNUSDT,2023-11-30 13:00:00+00:00,-0.1160421836228287,2023-H2,E_live
SYNUSDT,2024-02-27 23:00:00+00:00,0.10999999999999999,2024-H1,E_live
SYNUSDT,2024-06-12 11:00:00+00:00,0.10999999999999999,2024-H1,E_live
SYNUSDT,2024-06-16 21:00:00+00:00,-0.15263061968408254,2024-H1,E_live
SYNUSDT,2024-07-19 09:00:00+00:00,0.10999999999999999,2024-H2,E_live
SYNUSDT,2024-07-20 17:00:00+00:00,0.04286476224914127,2024-H2,E_live
SYNUSDT,2025-02-12 15:00:00+00:00,-0.03710616438356162,2025-H1,E_live
SYNUSDT,2025-04-18 13:00:00+00:00,0.03170886075949365,2025-H1,E_live
SYNUSDT,2025-04-22 00:00:00+00:00,0.08866814377154097,2025-H1,E_live
SYNUSDT,2025-07-06 18:00:00+00:00,-0.05165959703075295,2025-H2,E_live
SYNUSDT,2025-07-09 01:00:00+00:00,0.10999999999999999,2025-H2,E_live
SYNUSDT,2025-07-12 06:00:00+00:00,-0.039690799396681735,2025-H2,E_live
SYNUSDT,2025-09-29 17:00:00+00:00,0.01714348981399472,2025-H2,E_live
XPLUSDT,2026-06-25 05:00:00+00:00,0.10999999999999999,2026-H1,E_live
ENAUSDT,2024-07-06 02:00:00+00:00,0.05351851851851864,2024-H2,E_control
