hold_days,n,EV,win%,PF,ctl_EV,excess,EV_per_day
1,1732,+0.45%,46%,1.22,-0.16%,+0.61%,+0.453%
2,1372,+0.97%,49%,1.35,-0.02%,+1.00%,+0.487%
3,1202,+1.52%,47%,1.47,+0.23%,+1.29%,+0.508%
4,1092,+1.71%,47%,1.47,+0.17%,+1.54%,+0.427%
5,1022,+2.38%,49%,1.6,+0.19%,+2.18%,+0.475%
6,963,+2.56%,48%,1.6,+0.07%,+2.50%,+0.427%
7,906,+3.07%,48%,1.68,+0.01%,+3.05%,+0.438%
