pair,time,pnl,hours_held,variant
AAVEUSDT,2023-09-16 02:00:00+00:00,0.04506461134798312,168,A_hold7d
AAVEUSDT,2023-09-28 16:00:00+00:00,0.04380733526099534,168,A_hold7d
AAVEUSDT,2023-10-22 03:00:00+00:00,0.10746990612921037,168,A_hold7d
AAVEUSDT,2023-11-01 18:00:00+00:00,0.10981787746903238,168,A_hold7d
AAVEUSDT,2023-11-09 02:00:00+00:00,-0.09014300656080632,168,A_hold7d
AAVEUSDT,2023-12-14 23:00:00+00:00,-0.052504107542942546,168,A_hold7d
AAVEUSDT,2023-12-28 00:00:00+00:00,-0.16514592135196615,168,A_hold7d
AAVEUSDT,2024-02-24 03:00:00+00:00,0.16279820627802688,168,A_hold7d
AAVEUSDT,2024-03-02 12:00:00+00:00,0.16927120125896145,168,A_hold7d
AAVEUSDT,2024-03-11 09:00:00+00:00,-0.09913701431492827,168,A_hold7d
AAVEUSDT,2024-05-20 23:00:00+00:00,0.10613016423543797,168,A_hold7d
AAVEUSDT,2024-07-13 21:00:00+00:00,-0.020140364789849263,168,A_hold7d
AAVEUSDT,2024-07-31 01:00:00+00:00,-0.03371050177205748,168,A_hold7d
AAVEUSDT,2024-08-19 18:00:00+00:00,0.06599607714939526,168,A_hold7d
AAVEUSDT,2024-09-10 17:00:00+00:00,-0.040801177415038636,168,A_hold7d
AAVEUSDT,2024-09-20 06:00:00+00:00,0.06281775968449832,168,A_hold7d
AAVEUSDT,2024-11-06 16:00:00+00:00,0.06851776288476352,168,A_hold7d
AAVEUSDT,2024-11-27 15:00:00+00:00,0.2819183592979688,168,A_hold7d
AAVEUSDT,2024-12-06 14:00:00+00:00,0.3271619950088611,168,A_hold7d
AAVEUSDT,2024-12-14 01:00:00+00:00,-0.16200928337502263,168,A_hold7d
AAVEUSDT,2025-05-03 21:00:00+00:00,0.2589803378565494,168,A_hold7d
AAVEUSDT,2025-05-13 18:00:00+00:00,0.09276031215161651,168,A_hold7d
AAVEUSDT,2025-05-24 15:00:00+00:00,-0.08800727753886872,168,A_hold7d
AAVEUSDT,2025-06-09 23:00:00+00:00,-0.03090826303342631,168,A_hold7d
AAVEUSDT,2025-07-11 10:00:00+00:00,0.03991199746755303,168,A_hold7d
AAVEUSDT,2025-08-14 03:00:00+00:00,-0.12159946988661463,168,A_hold7d
AAVEUSDT,2025-08-22 20:00:00+00:00,-0.07804920831126017,168,A_hold7d
AAVEUSDT,2026-04-17 16:00:00+00:00,-0.20849416539827503,168,A_hold7d
AAVEUSDT,2026-06-26 07:00:00+00:00,-0.005359592215013807,168,A_hold7d
ADAUSDT,2023-10-01 10:00:00+00:00,-0.022673813169984514,168,A_hold7d
ADAUSDT,2023-10-23 19:00:00+00:00,0.11405487578791251,168,A_hold7d
ADAUSDT,2023-11-01 20:00:00+00:00,0.16684389288047008,168,A_hold7d
ADAUSDT,2023-11-09 13:00:00+00:00,0.03665635830445213,168,A_hold7d
ADAUSDT,2023-12-04 02:00:00+00:00,0.36080563102000496,168,A_hold7d
ADAUSDT,2023-12-13 19:00:00+00:00,-0.07857657657657657,168,A_hold7d
ADAUSDT,2024-02-14 09:00:00+00:00,0.029382228490832052,168,A_hold7d
ADAUSDT,2024-02-28 09:00:00+00:00,0.1320642129992169,168,A_hold7d
ADAUSDT,2024-03-14 09:00:00+00:00,-0.21092723180795192,168,A_hold7d
ADAUSDT,2024-07-13 15:00:00+00:00,-0.001539064300530189,168,A_hold7d
ADAUSDT,2024-09-24 19:00:00+00:00,-0.09262821833161694,168,A_hold7d
ADAUSDT,2024-11-07 01:00:00+00:00,0.5512831001076428,168,A_hold7d
ADAUSDT,2024-11-15 12:00:00+00:00,0.41329970872298016,168,A_hold7d
ADAUSDT,2024-11-30 07:00:00+00:00,0.06854970346109601,168,A_hold7d
ADAUSDT,2025-01-17 20:00:00+00:00,-0.16127367055771724,168,A_hold7d
ADAUSDT,2025-03-02 16:00:00+00:00,-0.29040034712178187,168,A_hold7d
ADAUSDT,2025-05-08 16:00:00+00:00,0.07289768076398362,168,A_hold7d
ADAUSDT,2025-07-11 10:00:00+00:00,0.1669852700490999,168,A_hold7d
